RCOM,,,,,,
STOCK data,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2018-05-17,10.4,17.75,10.05,16.4,16.4,556849068
2018-05-18,18,21.299999,13.15,15.3,15.3,827714011
2018-05-21,14.9,16.299999,12.75,13.35,13.35,294901978
2018-05-22,13.7,15.95,12.85,14.35,14.35,291907798
2018-05-23,14.5,14.9,13.9,14.2,14.2,112959431
2018-05-24,14.8,14.9,13.95,14.15,14.15,69390815
2018-05-25,14.25,14.7,13.75,14.3,14.3,76758735
2018-05-28,14.3,16.15,14.1,15.3,15.3,139947722
2018-05-29,15.85,16.799999,15.35,15.95,15.95,201030693
2018-05-30,16.75,18.299999,16.299999,17.5,17.5,380345916
2018-05-31,19.25,21,17.549999,18.65,18.65,413663689
2018-06-01,18.450001,18.450001,16.200001,16.450001,16.450001,216035822
2018-06-04,16.549999,16.75,15.4,15.75,15.75,104414076
2018-06-05,15.4,15.55,13.9,14.45,14.45,134829520
2018-06-06,14.2,16.6,13.95,16,16,257142823
2018-06-07,16.35,16.549999,15.4,15.75,15.75,150790059
2018-06-08,15.75,16.200001,15.45,15.85,15.85,76393521
2018-06-11,15.85,16.15,15.5,15.65,15.65,61042142
2018-06-12,15.6,17,15.15,16.1,16.1,128167178
2018-06-13,16.1,16.9,15.8,16,16,108982896
2018-06-14,16,16.25,15.7,15.9,15.9,54612999
2018-06-15,15.85,16.15,15.35,15.45,15.45,69321675
2018-06-18,15.45,15.6,15,15.15,15.15,56706714
2018-06-19,15.1,15.65,14.45,14.6,14.6,91700952
2018-06-20,14.7,15.95,14.65,15.3,15.3,103680530
2018-06-21,15.3,15.45,14.85,14.9,14.9,49410698
2018-06-22,14.9,15,14.6,14.7,14.7,48302888
2018-06-25,14.75,15.15,14.45,14.65,14.65,46631481
2018-06-26,14.55,14.7,14.3,14.4,14.4,41190381
2018-06-27,14.5,14.6,13,13.35,13.35,95060931
2018-06-28,13.3,13.85,13,13.3,13.3,88457968
2018-06-29,13.5,14.4,13.45,13.75,13.75,79747928
2018-07-02,13.8,13.9,13.1,13.25,13.25,51948385
2018-07-03,13.3,13.5,13.15,13.35,13.35,31002638
2018-07-04,13.7,14.05,13.55,13.65,13.65,62792631
2018-07-05,13.7,14.1,13.4,13.5,13.5,58801399
2018-07-06,13.6,13.75,13.4,13.55,13.55,32435975
2018-07-09,13.65,13.95,13.55,13.7,13.7,33787748
2018-07-10,13.8,14.2,13.75,13.95,13.95,45386930
2018-07-11,13.9,14,13.5,13.65,13.65,37838714
2018-07-12,13.7,13.95,13.35,13.5,13.5,35402717
2018-07-13,13.7,13.7,12.8,13,13,44300827
2018-07-16,13.05,13.05,11.8,12.05,12.05,54413372
2018-07-17,12.1,13.8,12.05,13.05,13.05,88164361
2018-07-18,13.1,13.35,12.55,13.1,13.1,71179171
2018-07-19,13.3,13.5,12.5,12.8,12.8,62805761
2018-07-20,12.85,13.1,12.6,12.95,12.95,42705255
2018-07-23,12.9,13.3,12.5,13.2,13.2,53401500
2018-07-24,13.2,13.95,13.05,13.6,13.6,64724729
2018-07-25,13.95,15.6,13.75,13.85,13.85,109394861
2018-07-26,13.95,14.2,13.55,13.8,13.8,46872783
2018-07-27,13.8,14.3,13.75,14,14,43057668
2018-07-30,14.05,14.1,13.65,13.85,13.85,26609464
2018-07-31,13.85,14.75,13.75,14.4,14.4,59508601
2018-08-01,14.55,15.45,14.45,14.7,14.7,107431563
2018-08-02,14.8,15.1,14.5,14.8,14.8,78679179
2018-08-03,14.8,17,14.75,15.65,15.65,200359638
2018-08-06,16.1,16.85,15.85,16.4,16.4,121614154
2018-08-07,16.799999,17.15,16.299999,16.65,16.65,110660341
2018-08-08,16.700001,19.1,16.549999,18.4,18.4,201135102
2018-08-09,19,20.5,18.700001,20.049999,20.049999,292872833
2018-08-10,20.1,20.75,19.049999,19.450001,19.450001,156677620
2018-08-13,19,21.200001,18.4,20.549999,20.549999,253846415
2018-08-14,21.15,21.700001,20.450001,20.65,20.65,167810134
2018-08-16,20.450001,21.35,17.799999,18.549999,18.549999,205261691
2018-08-17,18.549999,19.9,18.049999,19.200001,19.200001,175944067
2018-08-20,19.450001,19.9,18.85,19.049999,19.049999,96234183
2018-08-21,19.200001,19.5,18.4,18.799999,18.799999,86334542
2018-08-23,18.85,19.549999,18.700001,18.85,18.85,93925800
2018-08-24,19.049999,19.9,18.1,19.1,19.1,157329670
2018-08-27,19.4,19.450001,18.6,18.700001,18.700001,78946669
2018-08-28,18.950001,18.950001,18.25,18.35,18.35,60249875
2018-08-29,18.200001,19,17.200001,18.549999,18.549999,136160531
2018-08-30,18.450001,18.950001,18.049999,18.6,18.6,90415229
2018-08-31,18.5,18.75,17.9,18.25,18.25,73296426
2018-09-03,18.200001,18.9,17.9,18.200001,18.200001,86233625
2018-09-04,18.299999,18.299999,17.25,17.4,17.4,84670396
2018-09-05,17.4,17.799999,16.299999,17.450001,17.450001,123554671
2018-09-06,17.4,17.799999,17.15,17.25,17.25,54570854
2018-09-07,17.25,17.75,17.049999,17.299999,17.299999,57039892
2018-09-10,17.25,17.6,16.85,16.950001,16.950001,61564607
2018-09-11,16.950001,17.15,16.049999,16.15,16.15,59079109
2018-09-12,16.200001,16.299999,15.35,16.049999,16.049999,79095692
2018-09-14,16.15,16.700001,16.15,16.35,16.35,46317095
2018-09-17,16.4,17.6,16,17.15,17.15,83977228
2018-09-18,17.4,17.75,15.45,16.200001,16.200001,143474203
2018-09-19,15.8,16.1,14.6,14.9,14.9,100440182
2018-09-21,14.95,15.1,12.7,13.15,13.15,151617141
2018-09-24,12.7,12.9,11.25,12.25,12.25,93287496
2018-09-25,12,12.15,11.2,11.5,11.5,85791357
2018-09-26,11.9,13.2,11.5,12.9,12.9,103895838
2018-09-27,12.95,13.5,12.05,12.35,12.35,85636111
2018-09-28,12.5,12.75,11.7,11.9,11.9,62225689
2018-10-01,11.9,12.1,11.1,11.95,11.95,68946146
2018-10-03,11.65,12.45,11.3,11.8,11.8,73788111
2018-10-04,11.8,12.55,11.6,11.85,11.85,109738369
2018-10-05,11.85,12.15,11.3,11.45,11.45,56941722
2018-10-08,11.45,11.75,10.7,11.05,11.05,75958335
2018-10-09,11.05,11.3,10.6,11.05,11.05,62414174
2018-10-10,11.2,11.7,11.05,11.45,11.45,59429079
2018-10-11,11.1,11.5,10.7,11.1,11.1,52145852
2018-10-12,11.45,12.2,11.35,11.65,11.65,81241350
2018-10-15,11.8,12,11.5,11.65,11.65,48666488
2018-10-16,11.65,12,11.65,11.8,11.8,36017651
2018-10-17,11.95,12.1,11.25,11.35,11.35,43163846
2018-10-19,11.55,11.55,11,11.15,11.15,42531236
2018-10-22,11.25,11.35,10.8,10.9,10.9,32771738
2018-10-23,10.9,11.3,10.6,10.85,10.85,49480136
2018-10-24,10.95,11.2,10.75,11,11,33772304
2018-10-25,10.9,10.9,10.3,10.35,10.35,42867256
2018-10-26,10.35,10.4,9.8,10,10,52165776
2018-10-29,9.9,11.05,9.6,10.9,10.9,89042912
2018-10-30,10.85,11.95,10.75,11.65,11.65,92640562
2018-10-31,11.7,12.5,11.65,12.35,12.35,73037865
2018-11-01,12.5,14.2,12.5,14.1,14.1,144618228
2018-11-02,14.35,15.25,13.85,14.1,14.1,111904630
2018-11-05,14.95,14.95,13.45,14.1,14.1,69148992
2018-11-06,14.2,14.4,13.65,13.8,13.8,35245855
2018-11-07,14.1,14.1,13.8,13.85,13.85,6003489
2018-11-09,13.7,14.3,13.5,14.2,14.2,40369648
2018-11-12,13.8,14.6,13.75,13.85,13.85,43675188
2018-11-13,13.9,13.9,13.2,13.55,13.55,41543656
2018-11-14,13.6,13.9,13.3,13.7,13.7,34668195
2018-11-15,13.7,13.7,13.35,13.4,13.4,19041611
2018-11-16,13.5,13.7,13.15,13.55,13.55,51881650
